#{"t_start": 1661930578.7586188, "env_id": "LunarLander-v2"}
r,l,t
-49.743881,78,0.116671
-14.000338,109,0.227451
-107.608118,91,0.320184
-273.649558,80,0.411617
-286.615468,97,0.542117
-109.570318,70,0.623368
-80.52792,80,0.710554
-128.738891,83,0.798251
-173.882502,69,0.865797
-248.752133,114,0.979413
-378.639601,102,1.075141
2.773967,80,2.403763
-86.944021,70,2.475637
-129.088489,82,2.562117
-315.226433,115,2.681968
-89.418577,78,2.764345
-116.057434,91,2.853685
-279.962381,138,2.990067
-184.999012,62,3.051848
-127.843641,95,3.152753
-70.741327,73,3.226236
-50.914523,64,3.29223
-79.898449,105,3.406114
-132.037762,73,4.73514
-161.73819,83,4.818196
-43.043699,112,4.939783
51.916162,83,5.035207
-105.031525,100,5.155315
-121.944314,102,5.268375
-94.684893,70,5.348823
-104.565071,75,5.431255
-333.279564,118,5.562488
-77.078609,85,5.664229
-96.911001,123,5.803614
-77.562913,118,7.104466
-151.474981,111,7.209513
-276.777967,90,7.296993
-278.07043,96,7.388189
-234.80094,95,7.485239
-239.295469,96,7.574034
-148.99267,120,7.708184
-92.210695,90,7.813719
-110.175704,83,7.92269
-113.549553,76,8.016544
-147.755214,82,9.308396
-123.947073,105,9.478943
-64.818173,119,9.692646
34.743536,109,9.908307
-148.72115,141,10.209391
-42.00417,121,10.47769
-66.473215,117,10.730705
-99.779008,140,10.955738
-109.203938,115,11.084445
-65.263353,90,12.375157
-33.955628,139,12.522885
-65.325618,88,12.615182
-33.745809,127,12.753325
-82.812866,78,12.836779
-109.713604,128,12.973968
-85.806848,75,13.054278
-79.705355,131,13.186909
-170.824239,119,13.31457
-34.247624,76,13.401497
-30.530913,159,14.769025
-63.904831,87,14.861792
-68.719861,82,14.944499
-57.428226,95,15.039136
-76.458419,88,15.144633
-40.659947,111,15.284265
-63.080832,115,15.463302
-52.990877,116,15.616035
-49.726473,129,15.7853
-25.676052,176,17.301359
-58.849775,119,17.425982
-8.704531,101,17.525347
-71.695751,126,17.661508
28.212207,1000,20.541588
38.769252,150,20.738352
14.924801,169,21.007446
-1.444891,123,21.215069
-0.051707,109,21.433552
-2.122152,106,22.807312
-20.718832,107,23.052739
-43.848327,125,23.341021
37.723631,132,23.659654
23.605693,111,23.864643
2.268338,157,24.114069
14.551892,132,24.346101
-37.757533,93,24.526789
-20.011306,131,25.942923
-38.034377,160,26.259772
-2.524955,113,26.449874
40.059587,107,26.651666
-9.724203,111,26.874029
-58.581465,86,27.055057
-3.552861,161,27.437206
37.368976,121,27.750664
-53.493297,175,29.375863
29.092111,159,29.748119
-65.66034,245,30.392354
26.951268,151,30.78938
63.394456,1000,34.686398
16.067424,129,35.073026
-21.758185,131,35.452824
-53.248755,159,35.909481
-14.36964,151,37.454734
29.982974,1000,41.11766
-12.235214,110,41.403124
4.372568,166,41.750097
-23.715192,91,41.931402
125.992311,1000,45.543575
55.154207,193,46.141418
114.698598,1000,50.517308
108.059812,1000,54.240462
-21.594315,184,54.65352
31.222626,140,54.97654
122.053324,1000,58.98256
-41.942223,142,60.440019
146.706653,1000,62.828301
48.666829,1000,66.412146
145.115219,1000,70.018957
163.765519,1000,73.725784
152.832034,1000,77.3454
157.387081,1000,81.295976
130.179114,1000,85.08439
146.708867,1000,88.699578
168.052827,1000,92.211541
145.138372,1000,95.79244
156.772905,1000,99.253255
25.716845,183,99.66556
152.61783,1000,103.303933
165.114938,1000,106.872983
179.478422,1000,110.024628
176.533956,1000,113.440029
53.043085,187,114.985711
148.958744,1000,117.160209
177.973707,1000,120.612827
182.753647,1000,123.975059
44.860056,167,125.78418
51.660821,164,126.109951
151.14538,1000,129.986526
163.309061,1000,133.419429
166.155299,1000,136.6544
201.448614,1000,139.890898
166.809762,1000,143.06272
175.923716,1000,146.319264
279.480369,609,147.540416
296.789305,857,150.264825
256.111146,676,152.664943
261.405718,568,153.717944
141.188307,1000,156.61379
255.527157,323,158.335976
254.467507,300,158.745146
297.097202,558,159.612512
277.444591,259,161.138972
275.814876,250,161.517063
124.617275,1000,164.53238
276.335384,305,164.965018
255.063141,242,165.313785
267.082499,247,166.828295
266.003255,236,167.15257
261.125664,281,167.512926
266.238491,313,167.922254
265.276859,241,169.361558
248.914342,248,169.686587
288.232695,200,169.960729
234.476925,260,170.291563
286.143687,259,171.760568
157.418073,1000,174.185316
271.111565,240,174.501143
291.541526,255,174.863734
272.225237,302,175.268022
277.73617,220,176.700876
292.435808,240,177.017506
271.500224,250,177.346999
276.377798,277,177.712999
263.495722,325,179.447427
291.622682,309,179.895331
268.099937,317,180.410495
287.932527,253,181.93736
282.726696,250,182.283169
304.829368,294,182.691354
68.692386,180,182.93408
266.485545,272,184.45615
274.878381,260,184.814063
291.087788,275,185.171126
296.658512,450,185.801821
292.96678,222,187.245285
261.279706,250,187.5575
301.611973,292,187.925682
269.705841,229,188.23223
276.150017,226,189.698106
277.66986,208,189.990867
284.29968,251,190.425622
291.575342,220,190.719014
297.189837,274,192.281371
235.440546,323,192.708368
302.982582,252,193.022823
243.945344,231,193.340328
262.944604,214,194.780053
237.61035,246,195.1283
303.58362,291,195.592766
277.236619,260,195.981028
