#{"t_start": 1661930578.691436, "env_id": "LunarLander-v2"}
r,l,t
-63.515248,114,0.222738
-110.918403,73,0.294372
-404.218398,89,0.385392
-107.024266,93,0.492763
-108.083958,81,0.601025
-219.42452,127,0.745371
-263.212238,113,0.867327
-121.520847,84,0.949851
-189.335502,83,1.031826
-161.40028,99,1.127047
-338.966983,145,2.520358
-42.90004,64,2.586549
-124.508429,102,2.690842
-95.089895,95,2.796797
-89.205247,76,2.869536
-103.119131,73,2.939518
-212.366407,126,3.068027
-109.469963,76,3.146123
-97.39765,123,3.268574
-96.797378,67,3.343109
-136.841309,72,3.418215
-80.512534,69,3.491827
-80.118843,67,4.814663
-146.229367,86,4.898822
-161.262594,84,4.994107
-152.01389,110,5.11776
-65.619851,61,5.190076
-111.58647,104,5.310206
-118.028131,76,5.395064
-102.174421,103,5.513803
-71.146356,62,5.579989
-40.299985,78,5.670695
-83.728455,63,5.747588
-95.223807,63,5.820185
-75.342363,81,7.087379
-38.949062,86,7.171196
-166.833724,105,7.270986
-102.212761,65,7.332448
-166.106574,83,7.414334
-80.371937,76,7.488543
-127.474716,107,7.59316
-36.993667,85,7.677379
-107.143445,100,7.79144
-137.625212,108,7.917119
-80.606408,67,8.009459
-108.777103,92,8.124735
-89.307979,70,9.403129
-222.916844,122,9.609616
-79.550778,103,9.796369
-16.552237,182,10.175394
-98.639039,105,10.407008
-85.059093,68,10.553562
-154.268236,112,10.79469
-108.471931,86,10.967252
-127.438678,98,11.071235
-64.474639,95,11.177324
-93.214665,87,12.462353
-21.093162,86,12.549437
-52.480338,123,12.685549
-56.739517,94,12.786834
-67.76497,80,12.874359
-161.055152,99,12.978872
-48.697267,75,13.060496
-108.030236,112,13.177115
-70.004067,140,13.313806
-51.687587,127,13.461832
-55.56145,136,14.805981
-45.583058,85,14.893631
-30.445232,83,14.982958
-31.36704,109,15.09406
-68.705722,105,15.213776
-83.743439,97,15.336789
-81.99409,133,15.546554
-81.962345,99,15.670915
-94.741782,79,15.765013
-35.289663,165,17.287298
-1.207928,142,17.440951
-52.10905,157,17.599857
-0.87921,144,17.753389
-134.635575,115,17.881489
-13.328319,120,18.025685
-26.763122,120,18.189218
-3.790401,153,18.429996
-24.479108,113,19.866232
-69.457043,109,20.096493
-23.649347,100,20.301247
-8.889597,112,20.535776
79.907241,1000,23.601393
-20.324188,116,23.844087
24.736116,116,24.041052
-54.063844,139,24.262518
8.200252,160,24.562636
-29.896394,137,25.986158
44.421204,133,26.267346
83.42653,1000,29.64616
51.435373,167,30.056887
89.950906,1000,33.867392
-9.711877,99,34.114732
-38.154888,148,34.580807
-103.590652,276,35.417148
3.163589,152,35.857126
-201.695449,443,38.197764
103.338302,1000,41.765607
47.006353,159,42.087273
-1.679049,1000,45.737226
149.394704,1000,50.135928
95.402472,1000,53.896283
3.72001,193,54.394182
98.03552,1000,58.148052
134.978448,1000,61.854186
139.8138,1000,65.448182
52.124828,150,65.809136
133.090547,1000,69.304499
113.192272,1000,73.005986
158.305268,1000,76.750534
-12.779553,201,77.233141
119.324487,1000,81.124056
156.195352,1000,84.949748
111.486673,1000,88.586436
182.026109,1000,92.09293
132.384321,1000,95.674249
140.272532,1000,99.158307
179.743244,1000,102.635779
170.153638,1000,106.399108
147.427136,1000,109.560188
161.548491,1000,112.95412
127.136675,1000,116.305935
189.463481,1000,119.658976
142.304805,1000,123.008589
159.405226,1000,126.829608
176.781051,1000,130.601823
163.381391,1000,133.965704
155.498312,1000,137.218011
176.401011,1000,140.418629
159.919072,1000,143.577234
152.971694,1000,146.840445
111.552291,1000,149.872959
67.699139,185,150.229242
246.03907,678,152.62864
292.801491,427,153.425712
154.981841,1000,156.326112
46.938566,188,156.665465
297.073797,262,157.138568
289.080132,289,158.680429
273.707661,313,159.172715
270.931656,333,159.696387
274.973378,595,161.719674
250.136139,327,162.180799
295.806064,236,163.872924
271.462322,449,164.746934
285.986995,288,165.152929
285.241718,236,165.50585
281.751593,244,167.004355
282.600628,232,167.311374
271.393326,247,167.6299
243.456222,252,167.966504
262.218085,272,169.446729
236.588858,269,169.803545
264.196578,276,170.167047
258.96887,373,171.779958
261.773039,274,172.127297
268.880456,240,172.431572
291.61176,261,172.771174
279.991808,266,174.260724
266.324167,247,174.584956
251.251471,233,174.915261
313.784311,224,175.215289
289.865628,341,176.816961
297.158003,272,177.17582
255.25984,292,177.553158
274.010925,241,177.869812
256.843956,304,179.578535
283.275136,250,179.947474
248.107353,253,180.360976
289.553708,236,180.737637
274.095659,281,182.274336
263.658182,255,182.616484
295.383539,312,183.05229
232.726051,268,184.562122
271.655815,225,184.875134
294.246255,349,185.335024
248.833035,287,185.73174
252.083683,233,187.200389
265.957537,215,187.475267
277.114141,264,187.801069
267.487621,286,188.192004
265.643452,241,189.679669
289.482094,316,190.1173
280.489868,239,190.522837
302.714614,213,190.804734
277.320193,261,192.351588
280.285881,242,192.66777
307.511286,219,192.947047
293.50482,251,193.271675
233.32548,280,194.812759
290.496059,312,195.257973
263.603582,249,195.656293
231.09538,252,196.023362
