#{"t_start": 1661930578.678369, "env_id": "LunarLander-v2"}
r,l,t
-137.914027,106,0.225156
-198.331511,119,0.35065
-220.422462,102,0.453656
-109.786639,63,0.529764
-35.02102,80,0.640659
-47.397155,68,0.718286
-184.857872,64,0.787626
-201.53422,76,0.868165
-105.998505,71,0.935988
-294.455715,118,1.054404
-92.965465,90,1.141206
-73.478173,69,2.455871
-213.302488,98,2.557015
-18.219871,99,2.657631
-99.505402,108,2.775976
-106.13518,94,2.871585
-285.885402,92,2.959439
-92.09643,74,3.032676
-99.224092,80,3.112661
-133.377817,103,3.219895
-98.02156,88,3.312836
-88.915838,74,3.392007
-92.681169,74,3.472086
-99.172724,71,4.792122
-73.295051,73,4.869274
-138.332027,98,4.975841
-94.138734,77,5.058708
-107.864743,95,5.171859
-135.068929,80,5.267539
-60.992669,85,5.362752
-83.481222,70,5.439818
-113.28587,90,5.539511
-314.108285,128,5.687843
-79.491636,66,5.768292
-14.992571,88,5.858797
-107.293075,81,7.129517
-65.072472,69,7.197216
-174.430283,70,7.265161
-88.56846,94,7.351417
-70.640193,74,7.425675
-212.732763,95,7.520833
-85.044172,75,7.590146
-105.293044,83,7.672134
-164.017281,133,7.823227
-124.944842,105,7.952657
-167.932387,132,8.118585
-98.68719,123,9.481944
-92.401386,152,9.744047
-23.465049,123,9.988418
-51.32179,89,10.180363
-85.706716,136,10.481209
-132.320352,90,10.670731
-77.822436,138,10.964353
-122.800403,95,11.066928
-99.349332,96,11.178639
-92.526159,144,12.520253
-89.401964,83,12.610605
-92.115618,111,12.729932
-109.75727,73,12.807662
-100.96685,136,12.953772
-119.358582,108,13.071546
-26.482727,122,13.19736
-33.962729,98,13.293059
-273.550616,170,13.487378
-126.013459,145,14.839923
-128.934375,103,14.95021
-55.621838,149,15.099634
-79.661781,153,15.272135
-21.246512,109,15.417301
-20.539105,83,15.562852
-15.505625,124,15.715871
-43.897168,122,15.883051
-125.437447,137,17.345166
-79.943453,141,17.498539
-9.60975,110,17.607488
-41.348159,112,17.72628
-41.07787,110,17.845537
-53.802511,131,17.99338
-68.956144,131,18.173707
-9.015138,144,18.393764
-29.908607,133,19.859297
-132.104525,153,20.181025
-31.16215,136,20.463063
19.226344,102,20.656011
-82.31834,135,20.836924
-58.23665,171,21.111153
29.294713,90,21.263756
-13.133179,129,21.518036
-94.196848,130,22.943365
-17.070743,98,23.170491
-25.770784,101,23.405064
-180.359715,110,23.672424
-3.37146,134,23.933648
-34.877583,134,24.147329
-6.968326,109,24.330538
-29.294338,151,24.618321
15.021877,124,26.020789
-54.134014,152,26.324114
15.830199,137,26.557086
-46.042335,138,26.822907
-9.620931,127,27.086578
-1.484082,156,27.443235
-4.695134,117,27.741145
-22.333828,161,28.183963
-34.920505,149,29.691107
11.63532,123,29.98971
-4.743543,165,30.430735
26.867413,163,30.86459
-7.378429,137,31.257998
-17.188555,148,31.698672
4.823636,170,33.241652
9.917332,113,33.521045
3.048865,119,33.842327
-26.981985,140,34.196745
102.21375,1000,38.226984
9.267435,190,38.667319
43.691192,1000,42.188195
-47.63253,158,42.544129
-28.784133,144,42.857572
-40.798622,152,43.165764
99.11401,1000,47.300086
130.230732,1000,51.391198
91.832515,1000,55.091039
-125.870376,765,58.366851
62.542089,1000,62.017032
145.315907,1000,65.612531
174.620668,1000,69.092855
154.894436,1000,72.789589
151.605119,1000,76.559708
147.276894,1000,80.205014
136.501702,1000,84.168826
139.939069,1000,87.89119
158.205329,1000,91.37149
116.237135,1000,94.985036
113.374588,1000,98.533492
130.439944,1000,101.973445
181.568824,1000,105.769418
182.414554,1000,108.976391
115.973251,1000,112.288054
176.073181,1000,115.686592
142.855718,1000,119.027721
62.791898,203,119.462282
176.24261,1000,122.837539
194.102609,1000,126.502409
161.701671,1000,130.399237
157.331387,1000,133.789956
154.44832,1000,137.043874
150.96777,1000,140.239951
57.106047,212,140.693114
137.154984,1000,143.838861
158.952135,1000,147.126268
185.237291,1000,150.138468
72.50103,158,150.422659
292.545373,414,152.326211
272.694128,369,153.014459
260.659751,421,153.804862
146.770376,1000,156.701254
51.3998,183,157.034325
284.86894,216,158.518284
299.617949,393,159.101037
151.36543,1000,161.74628
282.347287,222,162.058627
88.276252,180,162.332983
271.829897,232,164.049906
275.509761,215,164.508746
304.984728,378,165.080942
266.641578,381,166.793327
281.667191,251,167.143437
250.703405,240,167.451261
248.736338,292,167.837478
267.890094,213,169.250608
256.05063,247,169.56116
295.008709,293,169.950824
286.502079,234,170.260513
275.41825,280,171.753047
262.094895,279,172.105508
272.92529,241,172.41289
271.457413,270,172.758716
287.43147,227,174.198504
290.433951,245,174.518073
280.073968,222,174.833496
256.119741,253,175.178119
297.224151,271,176.678363
270.091131,220,176.980195
266.11428,227,177.279408
287.351589,300,177.668107
270.234632,333,179.38136
261.616287,238,179.724871
285.27369,208,180.050322
275.19286,250,180.460245
278.202727,602,182.467465
287.587122,245,182.812564
287.03576,303,183.236425
297.93493,301,184.790441
284.754199,243,185.102917
63.074217,193,185.368462
310.49913,424,187.10539
289.899898,323,187.522702
285.894812,241,187.820231
255.682818,243,188.157546
58.94021,160,188.352417
281.996043,234,189.833041
251.145616,225,190.168336
254.136583,257,190.593255
292.556438,239,190.905329
306.393226,243,192.435078
306.429196,241,192.74846
295.929157,293,193.116261
58.905509,185,193.370608
255.977596,243,194.851026
282.936319,283,195.256593
288.766363,263,195.675478
253.285705,230,196.004726
