#{"t_start": 1661930578.1454668, "env_id": "LunarLander-v2"}
r,l,t
-108.871772,70,0.72042
-19.384303,75,0.797212
-74.213747,73,0.87447
-316.655217,96,0.973249
-253.431525,137,1.147991
-86.667297,75,1.237661
-233.444577,137,1.385163
-215.985874,100,1.486384
-132.108546,88,1.571421
-98.850411,74,1.643781
-134.890827,95,1.738237
-179.134151,88,3.071998
-112.261046,66,3.141805
-112.259515,109,3.254867
-76.303732,62,3.325455
-434.514917,114,3.4379
-53.157243,139,3.573604
-95.023319,128,3.706907
-248.493064,106,3.810926
-193.248975,107,3.927376
-187.136338,93,4.024608
-118.823387,111,5.393594
-171.796468,111,5.511297
-121.066265,103,5.62556
-121.760947,107,5.749702
-275.692458,103,5.867817
-93.191299,71,5.947572
-253.070722,97,6.059732
-118.085946,90,6.157598
-154.703997,90,6.261779
-75.365826,63,6.33888
-126.15454,65,6.405517
-393.651761,97,7.691567
-67.298336,93,7.781292
-69.719925,117,7.888481
-129.379939,93,7.980118
-142.993064,94,8.076759
-93.798032,144,8.215957
-72.535171,61,8.2794
-164.585206,115,8.417928
-131.260899,96,8.54008
-71.666576,65,8.621268
-100.223323,74,8.721703
-108.702401,98,10.053565
-80.744351,116,10.256815
-146.045908,119,10.490292
-62.743786,103,10.710429
-61.047005,83,10.890544
-134.413453,122,11.154296
-92.66289,65,11.297389
-77.399785,161,11.568707
-107.092709,132,11.718205
-97.63231,88,13.004112
-66.114514,70,13.073498
-130.059177,121,13.208507
-79.823448,88,13.298636
-18.468536,88,13.395102
-92.355639,84,13.485343
-89.027582,62,13.550683
-139.628925,123,13.684455
-75.480897,117,13.802481
-81.653643,77,13.880858
-48.438003,95,13.989544
7.004747,86,15.281211
-39.05359,143,15.43283
-5.987438,111,15.547753
-14.564885,135,15.687664
-64.96859,97,15.801525
-77.401988,139,15.988777
-25.47837,98,16.140961
-4.553797,91,16.263633
48.157995,88,16.373663
-45.970189,66,16.473317
-6.564269,135,17.924857
-26.867161,102,18.031206
-35.793717,98,18.129732
-38.208933,134,18.272331
-61.96436,84,18.360757
-52.163415,83,18.45507
-13.827007,138,18.622671
-27.002449,111,18.789367
-97.733566,125,18.985215
20.877058,137,20.472956
-27.524959,145,20.773591
-60.281532,122,21.029497
-8.590843,76,21.178236
-104.415321,156,21.386888
-16.314149,142,21.616437
-22.590829,174,21.924829
5.63262,87,22.102044
29.495255,166,23.61811
-44.334653,107,23.867452
-9.584734,150,24.225682
15.195683,93,24.410613
0.24263,138,24.634966
6.475592,120,24.833994
25.139041,177,25.168078
-24.028455,106,26.532112
53.314914,149,26.837973
-37.112462,165,27.119278
93.726685,1000,30.639555
-292.290101,262,31.341473
-53.694135,154,31.778905
10.356379,151,32.228833
33.176692,130,32.532095
73.897267,1000,36.503657
67.886871,1000,40.150614
-16.313662,158,41.728921
-18.669969,189,42.185609
101.469191,1000,45.593069
95.163367,1000,49.985691
1.81351,144,50.439554
1.297447,138,50.854624
134.585517,1000,54.622585
20.722939,165,55.017263
103.85608,1000,58.81701
148.568313,1000,62.482442
186.042464,1000,66.077579
-260.535433,409,67.068862
148.425228,1000,70.676656
26.716239,203,72.286283
46.443882,176,72.703878
134.240958,1000,76.493267
106.747569,1000,80.127855
168.558518,1000,84.103334
80.715788,182,84.544576
151.002398,1000,88.281624
148.128757,1000,91.757647
118.988981,1000,95.376807
163.580257,1000,98.932588
180.047109,1000,102.365992
153.441826,1000,106.169055
190.170086,1000,109.392667
151.348903,1000,112.679354
159.711883,1000,116.092877
129.755486,1000,119.443973
170.432303,1000,122.826643
155.572577,1000,126.481788
162.404505,1000,130.328877
155.913631,1000,133.792376
173.023009,1000,137.014267
174.520368,1000,140.259199
192.272138,1000,143.449951
170.432876,1000,146.682938
268.255833,782,148.26342
188.118019,1000,151.211136
279.505059,566,153.427033
196.770236,1000,156.406833
237.377315,376,157.027183
266.264974,312,157.597075
278.785152,246,159.10222
279.150159,341,159.627086
297.92841,286,160.053379
252.497314,260,161.602555
77.535361,167,161.856665
255.932907,230,162.197701
247.716619,246,162.5366
258.39921,287,162.996296
244.0392,260,164.79548
304.580214,252,165.265333
298.511123,258,165.632806
259.477792,250,166.003756
306.490055,254,167.5203
270.298715,345,167.973802
303.525354,288,168.351708
266.001725,255,169.821325
294.032781,345,170.257965
284.273587,272,170.62567
35.620196,199,170.882096
268.225696,214,172.293656
259.94488,253,172.613556
243.736768,211,172.882034
273.363774,352,173.338755
300.778312,239,174.789667
55.706154,161,174.998833
78.13978,177,175.242843
242.96152,221,175.55283
279.456633,290,175.936729
276.176505,246,177.415317
238.638998,232,177.718535
267.868703,247,178.036911
229.290983,239,178.351774
308.042266,281,180.025931
319.669861,258,180.389115
298.999637,244,180.773326
289.47382,260,181.205743
270.017695,305,182.786649
249.565014,236,183.097912
249.459567,252,183.44747
301.220855,283,183.844308
298.168706,245,185.327217
252.767798,290,185.706125
271.990186,248,186.047171
272.097589,262,186.416243
246.584229,294,187.951864
293.510843,309,188.329041
305.096003,232,188.644858
261.63729,319,190.237419
261.41957,218,190.511026
303.269038,224,190.922296
295.297067,263,191.282556
269.581691,271,192.831777
286.841244,286,193.215089
311.613386,256,193.53953
236.81598,248,193.870842
278.895354,301,195.433932
279.476278,266,195.817737
240.893876,252,196.220594
291.730055,257,196.604908
