#{"t_start": 1661930578.739764, "env_id": "LunarLander-v2"}
r,l,t
-112.761697,78,0.135474
-352.491604,97,0.232777
-164.785584,64,0.302097
-221.139521,95,0.400198
-129.494817,103,0.535516
-75.917948,53,0.603627
-174.732138,92,0.705412
-85.207372,90,0.798737
-117.343887,75,0.872353
-110.090047,104,0.977334
-125.738046,129,1.10152
-79.758988,64,2.412232
-126.420915,75,2.489915
-107.150195,109,2.602524
-17.503368,108,2.721164
-132.689067,84,2.805698
-116.662377,104,2.908065
-100.109721,89,2.995988
-117.090357,105,3.105064
-117.316035,108,3.211376
-51.755912,107,3.327745
-19.857283,68,3.398653
-103.183763,90,4.7424
-66.372925,68,4.812383
-98.36104,69,4.884108
-100.413961,75,4.967279
-15.783545,115,5.103616
-102.919428,55,5.16977
-44.85012,77,5.254316
-95.691435,59,5.320986
-232.516424,85,5.417326
-116.935605,104,5.533111
41.790942,143,5.704438
-110.492858,84,5.792282
-103.044007,84,7.065267
-155.484904,82,7.144081
-77.758214,93,7.233865
-173.266519,104,7.335459
-254.918354,109,7.440247
-105.184832,88,7.525023
-77.29403,74,7.595697
72.321173,1000,10.408304
-84.212762,107,10.63287
-115.31197,109,10.884579
-141.413221,64,10.955012
-123.809563,106,11.069159
-47.868892,105,12.38067
-95.736072,85,12.466212
-77.857741,119,12.595163
-9.493643,118,12.721326
-181.160923,126,12.858087
-111.5105,123,12.988829
-125.176307,140,13.136042
-247.300257,149,13.287992
-85.471489,77,13.373654
-61.751778,148,14.731026
-52.553169,129,14.8736
5.408527,108,14.984406
-37.116948,89,15.073885
-40.818649,163,15.273999
-7.63982,92,15.395927
-63.475746,107,15.562493
-43.232,80,15.666601
-71.679626,108,15.809419
-89.457522,107,17.245366
-18.092712,118,17.374518
-6.05198,129,17.509003
-22.245053,138,17.647729
-10.29455,101,17.759369
-13.833099,99,17.871249
-10.081941,142,18.049827
-79.093047,88,18.176902
-40.872406,105,18.341858
-43.034916,113,19.764558
-63.747708,139,20.060141
-7.893683,141,20.350229
-13.234396,129,20.598052
17.029588,1000,23.7047
-37.649875,102,23.885337
-68.390372,190,24.188209
-41.895678,116,24.398107
-17.01457,98,24.589115
-17.031584,101,25.944577
-39.556547,128,26.21605
43.413695,99,26.375341
14.059156,156,26.662805
-4.303007,137,26.94168
-38.245694,142,27.25168
-97.722166,167,27.669157
101.818061,1000,31.512943
-46.360124,144,31.850086
105.017717,1000,35.812822
-70.577046,258,37.658293
49.025758,157,38.080997
39.509041,1000,41.663293
30.794247,1000,45.092698
99.515162,1000,49.492772
-31.386057,177,50.060907
-15.785305,191,50.604532
-93.760885,205,51.065105
146.838596,1000,54.797132
71.692602,1000,58.750596
4.506367,141,59.128081
83.491018,1000,62.625879
-19.090515,164,64.167237
38.403515,216,64.725624
146.908284,1000,68.231741
94.963578,1000,71.852157
146.587272,1000,75.634706
133.724662,1000,79.261698
102.222606,1000,83.245569
127.141118,1000,87.008208
181.990568,1000,90.504017
114.051947,1000,94.091058
160.725019,1000,97.692921
132.779686,1000,101.079324
153.417342,1000,104.915047
171.424438,1000,107.110389
198.578268,1000,110.270798
153.239912,1000,113.690422
187.712324,1000,117.001137
-3.851199,185,118.635079
135.265238,1000,122.025112
153.445591,1000,125.665308
159.044748,1000,129.450299
146.442593,1000,131.860662
194.93682,1000,135.050985
156.516982,1000,138.306277
141.809035,1000,141.483713
169.12479,1000,144.629473
183.164421,1000,147.860327
289.97661,272,149.459794
267.509774,718,150.79939
67.57733,176,152.29624
282.145259,937,154.031363
270.001368,270,155.66944
298.006073,278,156.127671
286.301938,647,158.406117
244.258336,399,158.98713
245.141358,262,159.370098
294.526103,278,160.955123
296.821065,247,161.329756
137.174103,1000,164.241334
294.004176,334,164.81291
271.800788,218,165.127731
297.441514,258,166.663183
278.227954,278,167.056683
258.117378,246,167.372918
321.590766,246,167.695463
239.21147,233,169.142831
268.350574,240,169.440766
295.34468,237,169.757209
272.242633,267,170.107177
265.066618,217,170.37949
277.500002,283,171.883768
254.52321,227,172.171831
271.251371,219,172.446893
244.959502,264,172.796894
294.28703,257,174.268897
268.064165,265,174.624769
295.554733,229,174.947941
240.779669,267,175.304805
304.714929,261,176.797331
275.388018,303,177.201384
284.115302,247,177.515113
252.163306,267,177.871111
254.328527,230,179.480408
285.836349,279,179.881182
287.517046,434,180.585357
279.83679,303,182.164228
266.360459,246,182.490464
292.566868,275,182.872279
293.404147,259,183.235004
283.756968,221,184.68286
267.983587,244,185.002164
291.682688,252,185.343702
293.275957,280,185.736605
265.61322,223,187.189154
316.769461,262,187.518594
298.582366,242,187.818767
77.677736,191,188.089768
244.161567,222,189.547333
282.204771,309,189.946332
273.441916,258,190.409151
270.275351,272,190.771011
294.15719,293,192.362608
306.938229,252,192.691383
308.188394,233,192.97784
318.403959,262,193.337592
278.441621,250,194.82588
248.433867,240,195.171238
275.815948,259,195.579831
260.700046,278,195.999729
