#{"t_start": 1661930578.70731, "env_id": "LunarLander-v2"}
r,l,t
-140.256165,75,0.163202
-312.087761,103,0.269642
-264.324548,138,0.413567
-92.952014,127,0.576097
-90.034644,58,0.650702
-404.576819,113,0.772263
-48.506251,74,0.849369
-90.200719,64,0.911168
-255.537914,102,1.012604
-130.571729,68,1.078965
-90.003624,75,1.153159
-103.318599,72,2.472012
-94.772711,116,2.589685
-243.695018,93,2.686944
-100.82262,88,2.785105
-90.635269,64,2.847058
-238.603926,107,2.951526
-138.034251,91,3.042376
-113.85053,74,3.118271
-205.622404,101,3.221176
-236.370977,117,3.342303
-154.180746,74,3.423618
-90.959121,66,4.742641
-75.495753,74,4.822719
-138.365996,118,4.946393
-80.13779,123,5.084333
-224.963011,119,5.223726
-76.308582,95,5.333696
-147.011184,112,5.459116
-367.514445,97,5.565348
-43.14529,128,5.714195
-127.990215,91,5.818286
-94.543011,118,7.12363
-94.311045,74,7.196059
10.410892,134,7.320696
-101.498734,107,7.426376
-50.244113,73,7.500986
-289.904443,103,7.596038
-196.942336,146,7.752246
-64.724879,80,7.849905
-143.033505,115,7.996651
-86.945719,115,8.145674
-101.161536,124,9.520052
-57.372243,141,9.774033
-146.642518,84,9.941943
-100.168912,87,10.129278
-173.533716,128,10.410359
-129.74029,81,10.581354
-115.627514,89,10.774267
-26.387043,75,10.931572
-123.288443,132,11.074631
-118.531077,118,12.403769
-64.231794,103,12.507013
-48.835623,74,12.591947
-37.828359,98,12.69393
-137.15828,115,12.817577
-125.681074,141,12.970166
-114.885598,115,13.094244
-80.604662,131,13.22478
-33.326896,89,13.315933
-103.82476,68,13.390777
-64.749974,133,14.737344
-74.162273,103,14.848607
-70.714777,108,14.962874
-7.990627,100,15.062145
-87.149075,140,15.220304
-72.385743,117,15.369759
14.522021,87,15.522603
-42.954587,82,15.625282
-12.321475,111,15.764654
-81.443846,110,15.919307
-28.401949,120,17.355733
-63.097748,140,17.50169
-76.103328,104,17.606728
-94.045264,217,17.836667
-36.313203,122,17.978396
-32.408579,155,18.198221
-80.963516,124,18.388227
30.470051,202,20.005204
-13.188351,156,20.331733
-32.152614,132,20.603293
-45.419332,178,20.844267
-76.854552,161,21.102613
-17.413888,130,21.336897
-39.989862,130,22.756093
-69.565502,124,23.027214
-5.449707,102,23.26541
-30.868946,162,23.652496
-29.941744,116,23.879196
-28.94674,142,24.10888
11.143464,137,24.340458
-32.359387,113,24.558319
15.88636,151,26.015285
4.236327,175,26.351389
-12.659856,157,26.63018
20.680505,141,26.907112
-33.796491,143,27.217003
14.538505,130,27.531988
29.021186,163,27.969745
37.146647,160,29.527975
31.210365,152,29.891658
26.85339,1000,33.695564
79.274139,1000,37.712407
61.742457,1000,41.370465
59.197503,149,41.692509
87.087115,1000,45.121055
106.712991,1000,49.522162
35.517814,131,49.940423
13.369525,162,50.424919
136.726468,1000,54.177097
109.324335,1000,57.843215
126.276323,1000,61.632064
44.791294,157,62.004423
41.856236,157,62.371502
15.733549,153,62.767406
144.597279,1000,66.352392
3.729889,187,67.916582
112.341157,1000,71.542678
189.373593,1000,75.290028
122.735624,1000,78.890224
141.917444,1000,82.890329
172.882978,1000,85.534471
165.874855,1000,89.070144
26.753417,158,90.556781
162.143073,1000,94.147309
152.131558,1000,97.748062
61.126686,194,98.17156
201.274762,1000,101.593726
103.040589,1000,105.412424
113.98497,1000,108.659381
124.599387,1000,111.904346
138.022724,1000,115.340448
145.840543,1000,118.707904
149.185602,1000,122.095974
175.433724,1000,125.741707
189.568837,1000,129.537244
144.060429,1000,133.059628
165.169199,1000,135.121253
181.901693,1000,138.378054
145.192283,1000,141.554084
152.62914,1000,144.704064
159.131696,1000,147.924259
253.400447,676,150.320858
261.750612,881,153.089113
250.346575,982,156.012474
300.68367,312,156.539804
288.753269,279,157.050764
138.1266,1000,159.71817
284.331693,270,161.257805
270.443734,232,161.606967
270.829158,277,161.992871
255.96992,416,163.974469
281.38348,313,164.624114
306.502749,300,165.049058
266.950979,227,165.382418
276.200531,290,166.952076
268.053237,217,167.243218
241.272414,214,167.519999
296.587427,273,167.879634
277.168451,234,169.31471
263.511575,371,169.804213
285.427859,277,170.165996
258.508638,239,170.462146
284.732635,231,171.900522
253.262032,248,172.215412
290.745117,247,172.528222
275.438966,286,172.905336
292.454021,270,174.393867
260.118486,233,174.718343
302.027653,250,175.062865
277.003992,231,175.368671
276.039497,268,176.876548
297.257547,341,177.322335
298.272029,308,177.723509
310.177446,255,179.333884
242.239104,237,179.679483
302.949075,222,180.025264
277.559944,260,180.450694
295.291954,233,181.953829
275.238456,249,182.296244
267.42746,232,182.611659
290.944554,280,182.999351
274.46374,250,183.34242
260.51603,238,184.820456
275.59349,348,185.277999
316.082188,307,185.698859
270.557937,256,187.202525
284.428419,263,187.534742
271.556622,242,187.834733
254.848297,230,188.158625
276.687817,223,189.615931
247.269256,228,189.90004
233.551832,340,190.477064
284.302064,558,192.419835
245.728399,235,192.729174
308.137606,236,193.021923
301.281877,380,193.534887
288.526671,264,195.050892
251.601931,271,195.463764
