#{"t_start": 1661930578.665354, "env_id": "LunarLander-v2"}
r,l,t
-132.414081,74,0.204191
-1.898732,97,0.303396
-90.091065,109,0.415098
-426.538004,108,0.539795
-107.07164,102,0.677669
-270.087315,97,0.785976
-108.116317,103,0.893338
-186.959392,108,0.996213
-209.139803,114,1.112504
-405.504946,88,1.197864
-221.191694,94,2.539781
-105.740155,109,2.653189
-150.801681,103,2.757831
-35.090871,110,2.876093
-111.450403,90,2.961632
-98.939498,120,3.08206
-106.860993,104,3.190539
-101.588877,96,3.285593
-108.437656,129,3.421131
-134.895327,122,4.801716
-128.903601,79,4.884444
-186.38825,98,4.9914
-216.637073,128,5.134272
-128.724615,120,5.277268
-110.458271,91,5.379636
-228.352255,109,5.502713
-0.928671,83,5.591513
-188.107929,100,5.710075
13.38554,90,5.815913
-188.674155,77,5.900267
-98.526834,108,7.187099
-211.989563,97,7.285096
-80.904808,107,7.385143
-189.458735,96,7.477086
-114.451469,91,7.568867
12.171394,91,7.654905
-84.886977,138,7.806745
-139.887533,116,7.941991
-99.967585,69,8.036485
-307.913157,106,8.168504
-89.243321,124,9.541675
-52.617952,67,9.659077
8.685222,152,9.949049
-187.134382,132,10.226279
-63.486409,95,10.441051
-69.348733,65,10.579648
-104.182288,118,10.83599
-112.554218,101,11.013259
-243.127411,121,11.145085
-51.050487,125,12.475156
-44.488204,102,12.578971
-130.094771,132,12.723267
-51.554628,121,12.85376
-125.561519,136,13.000073
-92.664903,98,13.106067
-74.726858,175,13.285635
-207.274561,116,13.40957
-61.413653,115,14.7372
-66.300465,121,14.864888
-39.684547,71,14.9424
-56.723977,104,15.048967
-67.785564,67,15.116086
-93.909354,111,15.242114
-80.015012,141,15.419481
-20.389474,90,15.575673
-146.547967,80,15.678633
-46.862181,109,15.814144
-27.309074,126,17.285415
-20.545118,141,17.438614
-7.129974,147,17.592615
-18.388046,90,17.682052
-45.903219,121,17.811737
-80.475933,115,17.942785
-3.047692,117,18.086535
21.396465,139,18.284708
-53.032422,127,18.493905
24.195098,94,19.895912
-23.692004,166,20.239668
-11.699706,110,20.471612
-21.654988,150,20.726677
27.144057,94,20.857344
-24.08202,156,21.108472
-86.442245,184,21.437249
15.593151,108,22.813546
-28.170989,138,23.121468
16.023026,152,23.477381
-30.215103,148,23.820236
-15.457789,142,24.063211
29.92575,99,24.217682
-11.679263,136,24.457638
6.14225,126,24.702004
84.081547,1000,27.993079
25.521809,119,29.462583
55.164157,1000,33.229108
-111.767649,240,33.84859
158.263832,1000,37.864594
79.474881,1000,41.500511
-55.494277,231,41.974444
-70.026992,197,42.416199
-30.246148,142,42.728958
14.625553,1000,46.606033
-0.752663,130,47.037791
39.456557,127,47.442281
-2.842691,184,49.255651
-3.93234,140,49.689601
58.606815,1000,53.520616
-61.680784,155,53.949802
-19.014807,176,54.403925
3.098255,201,54.869804
111.959851,1000,58.824671
29.443529,160,59.240425
17.700358,127,60.653822
130.063555,1000,64.201288
127.451727,1000,67.768021
160.358769,1000,70.246037
25.837467,186,71.809972
189.781326,1000,75.588979
113.413427,1000,79.203865
146.260437,1000,83.188863
158.775287,1000,86.974409
62.735131,1000,90.473003
172.810868,1000,94.046876
142.896841,1000,97.656955
153.360162,1000,99.90328
177.156009,1000,103.57286
138.100976,1000,107.090749
146.339043,1000,110.242543
114.825126,1000,113.663948
147.105734,1000,116.978536
139.845436,1000,120.392777
36.581451,183,121.996418
178.348434,1000,124.231445
255.209448,664,127.267811
43.440804,167,127.669945
187.339913,1000,131.420662
183.933667,1000,134.659875
166.829429,1000,137.921076
186.12744,1000,141.118715
171.025118,1000,144.248291
267.702609,573,146.668743
194.79829,1000,149.70074
254.62672,980,152.693654
184.304714,1000,155.669606
295.489642,285,156.150643
251.450648,489,157.020242
40.418998,164,158.448294
57.447834,175,158.659513
285.446864,339,159.189335
309.18183,368,159.768531
290.296243,773,162.033258
40.328153,137,162.229706
276.545469,309,164.07863
276.016278,329,164.726738
282.547411,243,165.075634
281.498383,254,165.448092
73.60167,200,166.889663
242.801223,264,167.25339
273.124124,242,167.561899
270.336111,294,167.950338
248.347237,240,169.389429
240.430889,280,169.749392
271.481846,245,170.08242
291.520131,206,170.346459
274.954748,292,171.858864
277.113896,241,172.163755
283.428388,419,172.692522
261.650785,235,174.146121
239.363597,300,174.538685
283.978029,275,174.926606
263.530616,248,175.257379
264.529455,284,176.778556
315.357758,271,177.135443
259.359798,245,177.457352
283.980647,263,177.807549
288.135403,308,179.515734
251.698662,279,179.912566
271.223192,231,180.281521
69.941113,197,180.606958
270.905068,269,182.139667
277.750532,208,182.422932
258.731091,246,182.769866
257.764355,265,183.140469
303.679226,279,184.656399
269.601846,226,184.966108
272.925912,245,185.29196
303.663889,248,185.636207
287.96383,241,187.117842
303.971821,270,187.470652
254.770588,253,187.781496
305.734041,273,188.152576
261.91352,271,189.679303
269.770166,219,189.951036
321.44366,255,190.405372
294.256183,256,190.755646
260.128565,236,192.25901
268.368652,244,192.579869
299.106813,237,192.894712
273.608736,251,193.210514
276.776411,228,193.52871
288.961239,281,195.065504
302.465831,251,195.440603
274.518164,206,195.764879
247.685453,255,196.157
