#{"t_start": 1661930578.796294, "env_id": "LunarLander-v2"}
r,l,t
-294.433254,111,0.114371
-320.541136,97,0.213448
-331.706396,87,0.298417
-377.058063,93,0.409184
-89.549748,70,0.507902
-62.075726,75,0.595494
-266.44833,110,0.713388
-224.540996,124,0.839529
-134.749237,78,0.915481
-110.985474,93,1.005442
-367.970867,120,2.371599
-164.975253,98,2.471159
-95.087174,101,2.572144
-128.316141,97,2.683668
-289.153336,99,2.780119
-212.425038,103,2.880658
-75.392784,142,3.022337
-86.810525,68,3.092942
-245.081527,131,3.231869
-29.464308,114,3.355476
-188.664499,124,4.735459
-97.182615,106,4.843271
-78.608554,99,4.956927
-179.933308,82,5.051819
-52.002767,85,5.153197
-99.810628,68,5.2258
-131.850684,130,5.375569
-85.950195,73,5.454276
-89.585932,125,5.595816
-159.558691,123,5.736755
-44.619262,68,6.993791
-34.88264,111,7.10367
25.284682,133,7.227892
-116.486891,88,7.313957
-101.018216,76,7.388617
-103.472153,110,7.496115
-124.484984,93,7.585867
-100.860937,124,7.72977
-72.439894,98,7.857302
-85.866101,120,8.00702
-66.341871,109,9.348954
-68.180242,87,9.491999
-155.530045,125,9.722216
-120.69543,86,9.900916
-63.569941,87,10.085159
-57.705929,83,10.271853
-94.541434,84,10.453208
-178.349663,102,10.672626
-129.833048,80,10.841271
-187.975275,163,11.024938
-60.750127,108,12.334484
-44.654846,111,12.446687
-94.075723,153,12.616341
-118.777946,97,12.719455
-88.750305,124,12.852598
-71.36501,90,12.949663
-109.206342,146,13.100209
-84.821167,125,13.227492
-64.732722,74,13.308993
-62.500623,88,14.609438
-114.624941,135,14.75265
-79.823375,112,14.87117
-24.601265,113,14.985219
-176.948568,110,15.11014
-16.58974,133,15.27405
-54.791367,91,15.434978
-47.688729,124,15.588866
-119.040844,125,15.755202
-45.830181,118,17.203693
-48.557392,87,17.295339
-211.601403,108,17.411245
-56.153767,125,17.538486
-17.567647,84,17.628569
-14.10873,151,17.791236
-60.039977,116,17.934294
-16.188082,128,18.115636
-80.049793,88,18.252404
1.003298,99,19.634653
-36.466176,114,19.874982
-33.179185,124,20.130571
-44.809552,144,20.435865
-43.413228,132,20.629439
-50.953055,134,20.826821
-185.885761,107,21.004799
22.363045,100,21.177098
-18.994053,146,22.625572
-3.439922,94,22.823318
7.962849,155,23.183844
-19.730913,152,23.547764
-40.170507,159,23.856017
-2.547642,133,24.063987
-8.336248,127,24.284288
36.621046,106,24.4891
36.244722,133,25.909669
-53.810435,159,26.223948
-55.710633,133,26.450598
-56.140933,133,26.706764
9.341182,146,27.009395
-19.579437,134,27.320412
16.564088,138,27.675872
-44.359637,160,29.260421
29.710107,114,29.531031
-56.719637,145,29.886325
119.15072,1000,33.700826
17.326613,145,34.064657
-19.623098,1000,38.096093
-206.297608,216,38.600314
-70.108795,155,38.933013
1.159087,149,39.301331
63.627137,178,40.936645
10.654848,171,41.384274
-102.340955,488,42.436457
-12.815701,128,42.712757
-159.358988,282,44.479807
26.109113,131,44.825634
118.365694,1000,49.212534
-11.73283,168,49.735491
22.751709,158,50.214111
-45.506644,141,50.598959
25.633894,164,50.970843
13.703207,145,51.332972
125.505301,1000,55.03295
136.346609,1000,59.046478
44.616454,163,60.533362
28.529644,154,60.859095
68.839352,1000,64.469288
125.263742,1000,68.002971
114.574869,1000,71.620617
145.034422,1000,75.388755
156.681264,1000,79.00436
167.233947,1000,82.992753
161.940262,1000,86.786646
131.187238,1000,90.28565
168.12254,1000,93.848996
141.998457,1000,96.321009
150.230701,1000,99.705022
141.8726,1000,103.358966
148.137271,1000,106.906115
169.805116,1000,110.054736
117.443687,1000,113.473384
156.789486,1000,116.791409
141.925664,1000,120.19706
155.352448,1000,123.49876
154.87199,1000,127.441605
165.862176,1000,131.186518
191.848383,1000,134.446982
149.615787,1000,137.70932
168.577827,1000,140.903237
245.10349,819,143.682393
197.147244,1000,146.965525
301.641473,510,147.919249
166.887785,1000,150.90304
267.33001,270,152.573447
252.408812,389,153.294816
256.009419,264,153.779035
268.668519,416,155.674921
297.772181,583,156.672087
280.482165,291,158.331374
258.336979,249,158.658822
300.727797,515,159.454657
290.378502,514,161.382879
257.153618,262,161.742239
273.649119,419,162.413495
279.443745,629,164.831994
275.619721,263,165.216385
319.604214,252,166.739538
270.967362,270,167.113046
255.434971,220,167.388815
272.327872,262,167.739345
248.731774,239,169.183061
240.517926,226,169.466755
269.962906,249,169.801028
247.056971,254,170.136259
293.622111,252,171.590387
284.234475,234,171.889393
274.243444,263,172.22157
260.396991,243,172.528329
285.520443,302,174.070367
284.703775,267,174.420189
293.934612,259,174.785511
40.297833,168,175.016457
262.445638,232,175.319125
272.916574,269,176.829944
270.629225,257,177.170124
284.476377,317,177.580323
289.878251,278,179.209353
306.111422,286,179.63135
256.411771,299,180.095698
257.227149,220,180.465482
270.423292,258,181.984156
254.414333,243,182.316901
298.178116,233,182.644799
257.62439,227,182.959582
291.010124,236,184.427828
297.541179,246,184.766315
243.227345,257,185.099198
297.268691,239,185.432016
275.114429,266,185.801834
266.967356,227,187.251275
270.605392,227,187.534117
259.053074,260,187.859758
266.302573,240,188.182425
268.381647,270,189.706409
297.889169,242,190.084098
256.567409,227,190.44777
258.157718,220,190.739368
265.963254,239,192.257768
252.232928,274,192.615819
243.165852,241,192.916179
234.918056,259,193.270771
260.148341,246,194.755233
281.918459,284,195.162958
271.625694,230,195.530921
272.435392,244,195.88338
