#{"t_start": 1661930578.649547, "env_id": "LunarLander-v2"}
r,l,t
-139.251251,59,0.204712
-114.430258,65,0.274069
-151.619659,118,0.395322
2.262925,76,0.473398
-262.161146,84,0.578561
-102.043387,69,0.670816
-149.913301,69,0.74887
-80.35073,97,0.851728
-180.452302,119,0.973097
-140.855491,99,1.071417
-307.48554,93,1.16234
-80.115394,73,1.235127
-134.47771,88,2.568894
-48.64565,69,2.641331
-50.088629,61,2.703689
-101.539407,65,2.769758
-179.188376,95,2.874738
-186.344475,120,2.991921
4.439594,94,3.086024
-112.316266,81,3.165319
-41.250833,109,3.278915
26.306364,86,3.36769
-116.25755,89,3.462765
-126.525167,78,4.79676
-102.629066,122,4.92209
-222.466308,97,5.028506
-120.44397,73,5.11343
-106.215752,111,5.238931
-90.325141,61,5.313502
-55.259964,79,5.401351
-96.178883,58,5.466875
-119.687438,108,5.587799
-192.895595,101,5.702091
-98.033835,70,5.785972
-103.313434,87,5.880622
-137.964209,116,7.186266
-77.607219,82,7.268185
-82.07737,100,7.358384
-293.262863,103,7.458763
-71.662774,113,7.572976
-103.845687,101,7.667496
-88.451273,117,7.792471
-99.685387,96,7.906155
-202.051922,115,8.053271
-79.953508,77,8.148922
-138.869715,124,9.513874
-99.670876,110,9.70013
-23.25291,110,9.91005
-76.755508,94,10.105557
-192.127521,88,10.293407
-335.194309,137,10.595484
-165.887921,107,10.825419
-83.815171,81,10.995053
-46.685107,78,11.081644
-53.218103,71,11.155336
-43.933575,143,12.507102
-100.415371,138,12.655513
-65.984984,151,12.816286
-54.676596,71,12.891012
-48.837242,119,13.019734
-28.464838,114,13.139264
-83.845418,122,13.268087
-73.099729,114,13.382762
-83.572143,79,13.470708
-33.975541,141,14.82111
-29.422064,155,14.991309
-131.129238,129,15.119909
-24.537921,133,15.268353
-109.361383,99,15.399875
-84.570608,129,15.600884
-23.412917,95,15.720685
-69.018934,139,15.905503
-13.115396,164,17.403159
-55.762376,105,17.515077
43.202981,119,17.633234
-37.561144,118,17.759895
20.084204,99,17.86745
-29.675503,104,17.983447
13.406628,93,18.101164
-40.041499,118,18.268457
-29.674326,90,18.409405
-10.147752,155,19.915554
5.157457,116,20.16002
-36.255793,150,20.47119
-44.40526,148,20.729531
-51.087682,120,20.897117
-53.463856,79,21.020849
-3.386178,140,21.254329
-13.423119,114,21.469771
-30.013061,115,22.861824
-45.143347,135,23.168611
-33.19676,100,23.400747
43.370157,164,23.793124
-75.587115,143,24.049345
1.66726,173,24.321315
-34.594245,111,24.525242
-25.919425,103,24.725529
-0.790586,125,26.142307
2.316675,155,26.427588
-75.679816,124,26.646634
36.358576,241,27.131723
-5.571502,146,27.46701
3.768528,152,27.859345
83.784327,1000,31.698751
4.643915,169,33.236937
26.931739,135,33.568458
10.792719,149,33.962836
-24.277356,195,34.525135
25.767314,1000,38.471302
4.931279,155,38.825142
21.125922,143,39.134386
21.749178,147,39.506815
58.381982,173,41.131922
37.558626,139,41.500357
-69.047866,120,41.759166
131.103398,1000,45.19162
-106.436737,159,45.706707
-111.321009,450,47.122576
140.52842,1000,51.260484
149.938546,1000,54.973062
140.625151,1000,58.957882
-24.507441,145,59.305131
183.365987,1000,62.821278
86.258779,1000,66.404974
136.17744,1000,69.987886
148.557155,1000,73.693771
154.974268,1000,77.339445
179.75132,1000,81.254326
111.7749,1000,85.062763
141.301255,1000,88.698641
66.774583,1000,92.205551
188.01054,1000,95.781068
182.947552,1000,99.260207
161.520524,1000,102.743335
129.906654,1000,106.499664
131.515079,1000,109.667312
131.777876,1000,113.054322
192.226829,1000,116.405482
188.826578,1000,119.766459
170.021514,1000,123.102824
166.462065,1000,126.952468
167.325238,1000,130.711597
150.041074,1000,134.063494
175.991324,1000,137.314384
192.1682,1000,140.516355
168.069855,1000,143.669921
41.271634,202,144.059987
244.975507,844,147.039848
291.952115,869,149.793462
243.671674,666,151.030655
254.576314,273,152.70559
256.875637,453,153.552034
46.532673,187,153.89113
37.171873,171,154.194701
293.373342,601,156.373277
254.591213,349,157.006441
270.656253,259,158.561026
276.496875,226,158.883246
265.704026,276,159.300231
289.307177,341,159.841476
306.16459,219,161.307893
300.272862,284,161.730427
263.426721,258,162.090076
273.482335,225,162.45006
271.278862,265,164.250007
57.503271,173,164.624178
279.606002,266,164.999938
280.438109,263,165.385936
25.622566,164,166.779748
66.566303,216,167.081885
291.446685,250,167.412083
284.122576,231,167.709116
90.174046,156,167.919732
301.051569,255,169.381685
265.674232,217,169.658071
275.939135,277,170.032026
231.263578,227,170.327066
292.865073,223,171.746652
259.31001,237,172.047998
265.418588,267,172.388482
264.106458,216,172.659584
133.112859,1000,175.151287
279.328652,256,175.485864
265.732117,249,176.969735
308.616385,232,177.272948
246.347267,250,177.593415
274.301905,254,177.932874
255.540881,348,179.694597
275.955529,264,180.098779
307.829984,241,180.496428
274.656562,227,180.844984
267.799625,281,182.379769
247.6098,227,182.687315
268.040051,299,183.106232
288.894244,216,183.395541
304.051322,261,184.906691
292.430729,246,185.22498
298.673987,258,185.58337
303.983148,271,187.104903
271.328714,252,187.438439
283.756791,231,187.726451
288.133521,259,188.054885
257.46525,242,188.376903
267.567135,266,189.893543
227.909151,259,190.337612
274.641623,358,190.835897
316.996716,244,192.355918
268.248855,402,192.88293
70.682049,164,193.087784
245.057002,252,193.433094
287.943071,529,195.322851
274.800774,245,195.716515
301.255965,227,196.043315
