#{"t_start": 1661930577.8515909, "env_id": "LunarLander-v2"}
r,l,t
-158.878971,92,1.03758
-202.96817,67,1.103106
-137.460263,106,1.214756
-139.064762,103,1.330953
-50.215049,64,1.418035
-547.035983,101,1.539968
-71.530983,90,1.637182
-278.404637,73,1.712143
23.002478,71,1.783834
-569.524621,122,1.904112
-135.471146,77,1.975475
-120.245173,104,3.32888
-10.214384,110,3.440941
-105.776947,97,3.541097
-119.571749,75,3.626359
-125.809669,111,3.735654
-151.717053,119,3.849537
-156.954298,111,3.962322
-188.625971,98,4.06654
-97.17149,85,4.153394
-428.710714,99,4.258036
-143.403439,81,5.594607
-72.045618,67,5.665468
-63.011313,103,5.769813
-136.494408,102,5.884467
-304.320308,129,6.034148
-93.799365,111,6.162915
-125.844995,87,6.26208
-117.258436,81,6.35527
-52.792253,69,6.427957
-180.916653,130,6.582734
-135.184218,75,6.668643
-87.484488,72,7.927182
-76.917471,66,7.991992
-116.080573,99,8.086282
-96.124446,81,8.164582
-112.995408,96,8.256712
-71.696398,69,8.323756
-314.265776,125,8.445678
-261.970855,93,8.535417
-91.636929,84,8.636526
-88.590651,79,8.731049
87.745381,1000,11.770683
-75.647923,149,11.930249
-104.953048,111,13.250934
-73.128127,98,13.351608
-38.576823,162,13.526804
-95.802898,153,13.690266
-119.805479,104,13.802325
-52.978796,95,13.905511
-71.617507,83,13.990719
-4.186123,196,14.192768
-75.671677,95,14.301596
-21.784858,80,15.584279
-12.826854,140,15.7324
-24.471109,103,15.840128
-31.814048,78,15.920072
-223.827942,112,16.047745
-6.242669,125,16.204489
-29.830805,111,16.387431
-84.008079,135,16.557711
-73.004434,144,16.752934
-43.818141,133,18.204851
-55.01009,149,18.362027
-87.824707,84,18.443524
-59.846457,127,18.580314
-73.633647,143,18.73472
-11.532806,120,18.882406
-35.778537,95,19.015945
-52.318734,105,19.172537
22.57922,179,20.720677
42.106864,194,21.126117
-41.780098,137,21.412723
-59.685712,91,21.542922
-88.646154,167,21.783606
-14.752166,152,22.037615
-11.880301,100,22.226105
-14.025828,138,23.661758
-23.642264,107,23.902538
28.127063,106,24.150233
-7.439981,133,24.468588
22.310779,171,24.804381
-22.903677,125,24.998123
-8.26832,133,25.22877
29.369779,157,25.532728
-11.785177,98,26.887886
10.672997,119,27.128501
12.679309,116,27.320524
-2.722613,116,27.537511
-29.847938,129,27.796096
-52.371045,113,28.038351
22.376074,157,28.4183
-2.466506,133,28.774353
0.813609,118,30.243306
-4.175609,144,30.579982
13.98249,122,30.884542
-4.022321,96,31.138844
-19.520476,124,31.469456
-13.946624,167,31.928422
-6.851582,135,32.34756
30.129433,189,32.813136
4.693564,139,34.295438
10.49509,139,34.668643
90.30213,1000,38.685587
-17.248179,153,39.082372
-25.711747,174,39.485254
75.35456,1000,43.007832
40.38629,162,43.37331
-173.256431,778,46.496213
91.705351,1000,50.900606
-21.40064,149,51.32959
29.584092,143,51.671338
107.877107,1000,55.398774
109.897486,1000,59.224898
119.083657,1000,62.868744
102.93557,1000,66.464483
41.078969,159,66.835012
18.293225,216,67.373408
-3.299611,157,68.860281
115.965238,1000,72.486224
180.306903,1000,76.242568
28.350712,187,76.709491
121.268328,1000,80.344419
124.691981,1000,84.32123
157.969018,1000,88.07422
131.37395,1000,91.556443
184.381505,1000,95.17712
126.685644,1000,98.749298
62.245536,170,99.124619
24.260757,173,99.521396
162.404039,1000,102.979599
149.16932,1000,106.756083
179.50004,1000,109.949559
170.932173,1000,113.291126
145.642614,1000,116.678881
206.302578,1000,120.003323
144.132985,1000,123.386168
184.438395,1000,127.035149
158.468913,1000,130.915749
69.298906,184,131.355172
160.431738,1000,134.735971
155.901852,1000,137.98956
172.821988,1000,141.186242
152.923946,1000,144.35253
73.492024,166,144.67919
171.533427,1000,147.967409
63.632299,158,148.252205
268.945044,866,151.022197
66.012396,174,151.328507
249.323243,999,154.344374
288.75588,733,156.802927
269.76791,261,157.228549
203.922918,1000,159.989195
297.439569,406,160.621976
307.753369,258,162.148579
280.071116,219,162.474312
296.649253,244,162.805994
267.91272,307,163.300934
261.129356,254,165.089267
276.9537,258,165.569816
291.387472,243,165.91571
301.479877,311,167.523507
291.649495,317,167.973151
303.020767,231,168.268924
50.105761,200,168.528413
319.571973,283,170.044039
67.98739,179,170.26133
241.858267,320,170.689009
256.803484,259,171.028079
246.104913,230,171.313393
23.404924,186,172.695926
298.799936,358,173.146699
269.267204,217,173.423627
273.718263,259,173.765647
277.413279,277,175.264461
283.91365,274,175.648344
261.884686,273,176.018517
300.868296,226,177.466108
276.116142,262,177.820181
249.775477,250,178.146462
257.550122,229,178.441873
293.963629,262,178.784797
258.571364,248,180.416856
284.775527,259,180.800095
269.506449,237,181.188498
292.421569,218,181.537002
278.973718,267,183.05949
292.109864,257,183.400549
287.410319,237,183.72943
286.877233,337,184.193305
275.828325,243,185.680176
303.387743,256,186.012126
270.367189,329,186.465664
268.451373,223,187.923053
231.434085,293,188.3046
69.639284,160,188.506068
273.883542,218,188.776282
302.056943,292,189.167588
297.405601,280,190.701252
259.935797,225,191.090692
300.755577,233,191.43458
297.649009,252,191.764411
260.828919,212,193.253352
281.619066,226,193.544421
256.969281,228,193.830927
315.124183,260,194.181891
258.456338,245,195.666045
243.681053,232,195.992324
284.820201,285,196.436388
82.083521,173,196.680303
302.069816,225,197.037983
