#{"t_start": 1661930578.738088, "env_id": "LunarLander-v2"}
r,l,t
-126.437676,76,0.133858
-182.951287,114,0.251727
-86.331556,80,0.333026
-218.346908,80,0.424652
-192.338483,116,0.576092
-135.191774,78,0.663546
-306.450439,97,0.768495
-112.367097,74,0.8453
-120.647183,93,0.931853
-151.423836,91,1.02625
-136.163653,73,1.094578
-38.39275,93,2.43669
-98.737839,120,2.559441
-102.007381,58,2.618437
-157.885118,75,2.698906
-69.014743,62,2.768845
-185.409618,84,2.850443
-338.495764,95,2.942194
-109.913452,94,3.036509
-152.724268,87,3.126212
-77.862806,97,3.223115
-228.042648,82,3.310626
-123.482689,84,3.403777
-84.998546,64,4.720102
-122.81101,72,4.797777
-224.027363,119,4.923221
-98.170213,106,5.040565
-189.096152,75,5.129452
-89.114899,70,5.213484
-184.649861,97,5.319444
-75.704427,77,5.404449
-62.455896,66,5.479758
-80.873677,73,5.559724
-100.903128,68,5.642111
-299.649539,109,5.771123
-106.446886,83,7.040909
-260.329242,114,7.150633
-108.40316,85,7.231856
-137.940026,118,7.345912
-164.317442,77,7.418243
-87.40319,128,7.546688
-138.252679,104,7.646676
-174.349039,97,7.763616
-45.589099,71,7.847463
-51.12782,90,7.964884
-206.743738,80,8.064103
-101.517491,83,9.360828
-179.846451,95,9.520763
-168.881459,148,9.791693
-35.084933,128,10.059883
-98.075266,108,10.290853
-34.25711,76,10.45907
-53.079227,134,10.748177
-249.312546,120,10.955162
-97.027082,104,11.065615
-260.242526,86,12.358128
-103.963952,140,12.500877
-15.184739,142,12.656288
-113.651799,131,12.798459
-113.888964,167,12.975244
-7.090164,80,13.064829
-17.374757,84,13.147056
-184.497822,118,13.264072
-94.044092,128,13.41282
-65.150005,74,14.690533
-35.354663,114,14.813071
-45.360541,87,14.905599
-29.751333,91,14.996378
-125.223478,95,15.095101
-26.177303,158,15.2925
-82.584383,95,15.43347
-34.72207,114,15.596004
-35.650726,131,15.764606
-12.418432,86,15.885738
-48.350771,116,17.31571
-67.041772,107,17.429489
-52.019593,83,17.514364
4.121081,160,17.682038
29.31262,150,17.843852
-61.757703,129,18.000682
-22.384454,128,18.182825
-38.508198,82,18.312242
-4.699923,149,19.802607
-55.776237,137,20.088941
-44.123009,170,20.441999
-44.809231,138,20.665565
-21.672496,84,20.783371
82.050501,1000,23.950715
77.034889,1000,26.96307
4.27031,124,27.233563
-9.089589,125,27.539813
2.157125,132,27.893382
-20.022486,173,29.490569
35.677371,186,29.939214
-20.473913,135,30.296238
-5.971644,140,30.670561
3.151948,143,31.064665
-29.053742,127,31.461745
0.522652,125,31.772996
-40.319979,169,33.324136
-99.41187,288,34.068692
-8.263226,109,34.411952
-14.98936,148,34.86596
105.363944,1000,38.705262
157.142098,1000,42.222444
-44.166073,143,42.544468
-49.012626,151,42.872207
67.022937,1000,46.87265
-97.953876,456,49.539485
53.528251,136,49.984353
144.40983,1000,53.751742
30.202808,1000,57.402572
128.48603,1000,61.241039
118.952915,1000,64.884306
160.942268,1000,68.362357
-30.948747,174,68.739209
164.436988,1000,72.423916
148.979771,1000,76.215245
-11.34051,191,76.673913
170.384459,1000,80.358183
179.638237,1000,84.312532
146.416949,1000,88.019564
116.551982,1000,91.50011
154.987605,1000,95.103436
138.882362,1000,98.64033
138.39684,1000,102.099443
225.697749,348,102.928864
155.011713,1000,106.649216
177.846867,1000,109.794933
150.972424,1000,113.19495
156.11576,1000,116.535027
149.835852,1000,119.915863
165.801197,1000,123.238727
139.03147,1000,127.126012
184.956105,1000,130.901606
202.611688,1000,134.190121
167.33556,1000,137.445242
153.056829,1000,140.647787
144.36478,1000,143.793284
191.962963,1000,147.081096
288.296368,721,149.532024
246.209816,230,149.994614
264.78616,853,152.722114
286.875548,413,153.493434
50.933473,164,153.791543
50.935324,180,154.111816
277.829493,219,155.657315
256.417665,870,158.323356
250.818846,347,158.800983
268.321343,318,159.282666
274.228325,269,159.718035
281.298791,280,161.276141
292.01188,471,161.949966
275.60899,271,162.380852
262.76533,295,164.247625
277.161585,282,164.745591
274.60479,332,165.223908
267.686466,255,166.754963
237.407293,270,167.12906
280.32243,263,167.465055
286.312584,252,167.801571
300.730549,271,169.282524
300.890283,233,169.578467
283.04038,222,169.878122
297.270967,244,170.201052
271.05981,253,171.65672
257.416155,260,171.987027
281.223423,261,172.319444
261.229124,255,172.641761
293.501136,206,174.056018
293.058339,247,174.378192
267.376673,265,174.748731
301.9456,324,175.186237
266.470851,401,176.871405
287.951796,269,177.227926
283.338956,335,177.661733
264.61047,298,179.33152
262.881565,872,180.691446
247.632519,254,182.191008
276.243714,309,182.609135
156.1644,1000,185.114839
274.047765,278,185.500015
278.932781,212,185.794893
274.020013,249,187.278736
256.961163,236,187.570897
287.05904,220,187.841482
261.440017,247,188.181052
41.687075,188,189.603129
289.4261,250,189.91711
265.938917,264,190.391042
247.921695,253,190.726688
308.967287,250,192.252134
249.081129,256,192.590828
283.006514,247,192.909677
318.214396,218,193.187673
272.965178,240,193.520805
254.794779,246,195.013115
282.422195,244,195.378967
282.812726,259,195.772916
291.673209,246,196.157157
