#{"t_start": 1661930578.588913, "env_id": "LunarLander-v2"}
r,l,t
-237.38037,94,0.302274
-101.37476,94,0.398031
-430.139224,96,0.494962
-358.425671,125,0.648875
-357.357127,95,0.771983
-89.934379,59,0.83197
-171.047342,64,0.903513
-103.386025,80,0.984284
-101.047255,78,1.060988
-354.650031,107,1.169562
-54.620555,127,1.293734
-95.502232,103,2.643814
-100.165443,67,2.713059
-83.326668,74,2.789075
-303.964411,90,2.889922
14.54444,132,3.018443
-418.40229,82,3.098438
-105.584126,79,3.179911
-89.864043,94,3.275236
-132.49689,115,3.392837
-61.637107,87,3.486856
-97.519765,59,3.549785
-109.602565,74,4.876197
-112.903898,84,4.963167
-122.627872,81,5.049096
-160.285972,75,5.135119
-136.353892,76,5.220194
-77.979148,86,5.324827
-76.309311,118,5.458354
-127.423936,79,5.544645
-63.029742,124,5.683738
-113.425575,78,5.775271
-69.53828,88,5.880161
-116.058134,67,5.948053
-171.168305,108,7.246926
-79.737783,70,7.314387
-124.399718,83,7.393529
-207.565632,96,7.486074
-90.535559,118,7.600898
-309.440259,91,7.688323
-164.36812,79,7.765536
1.157079,82,7.856529
-61.53549,72,7.938308
-38.007286,88,8.050886
-117.560733,105,8.183908
-91.528523,85,9.479282
-28.794442,118,9.673044
-182.532662,120,9.890561
-83.733177,93,10.075641
-57.119213,86,10.261224
-309.316388,132,10.553621
-84.971082,103,10.770768
-257.654976,110,11.021589
-68.429112,101,11.140891
-79.759718,111,11.264135
-230.087766,130,12.592622
-38.880863,169,12.775342
-75.471057,116,12.8991
-29.69294,132,13.040458
-104.781084,115,13.165597
-69.933784,93,13.260585
-66.30418,124,13.385037
-56.63734,85,13.481171
-57.653406,77,13.567409
-11.440298,93,14.864366
-84.486794,114,14.986552
-17.657869,154,15.145266
42.095711,131,15.285165
-72.143897,93,15.397272
-45.233134,91,15.518082
-79.53081,137,15.731055
-73.471368,95,15.848957
-85.185783,132,16.034663
15.866138,115,17.463746
-87.826412,90,17.562538
12.892875,123,17.68451
-91.008633,103,17.787684
-64.218418,111,17.911234
-10.799896,107,18.030356
-41.694266,123,18.183769
-162.617106,89,18.316509
-10.530419,88,18.447534
-12.333819,81,19.793143
-70.646471,117,20.038146
-333.522975,190,20.437764
2.150632,164,20.753708
9.135392,119,20.91342
-34.287305,139,21.130934
30.419487,110,21.314966
-32.008416,151,21.609469
18.493663,119,23.011623
-87.707061,157,23.374283
0.577988,121,23.662436
-68.09138,107,23.903588
-2.944647,87,24.057783
-14.410811,137,24.272618
-11.460517,129,24.497128
-32.178951,91,24.673006
-36.685124,156,26.140067
38.1196,1000,29.491014
-17.484343,125,29.78503
91.823543,1000,33.566812
38.765744,97,33.823443
27.008509,1000,37.842861
-60.907125,303,38.602223
52.178725,176,38.994806
131.208153,1000,42.526365
66.40584,1000,46.29712
86.030514,1000,50.670916
-6.408711,117,50.929553
-132.294137,378,53.006454
66.91901,1000,56.673372
102.914303,1000,60.661604
-11.731595,158,60.994027
-8.627992,149,61.348126
39.902597,1000,64.988135
173.244228,1000,68.474887
53.649563,156,68.808906
20.594808,129,69.124507
156.06265,1000,72.819564
143.168214,1000,76.595242
51.24205,179,77.018144
121.954058,1000,80.788152
115.916985,1000,84.689567
195.420564,1000,88.367491
156.692412,1000,91.863141
163.117064,1000,95.453395
112.421854,1000,98.968203
49.294573,192,99.392972
185.932583,1000,102.886462
164.068566,1000,106.636871
164.309308,1000,109.796243
144.13248,1000,113.183873
143.128633,1000,116.536994
164.385709,1000,119.900694
197.335261,1000,123.234821
196.432577,1000,127.110047
69.561439,166,127.501337
34.86753,164,127.907899
195.311168,1000,131.657551
152.439687,1000,134.86195
161.692934,1000,138.123107
184.790684,1000,141.319177
171.603348,1000,144.454328
157.803745,1000,147.727402
168.437314,1000,150.693105
296.847382,326,152.450966
247.721951,352,153.105544
266.72798,711,155.55322
248.140093,303,156.095157
305.401542,453,156.871975
302.575723,293,158.535506
269.793193,353,159.03017
267.690926,247,159.40155
62.978773,158,159.648119
271.275494,240,161.164431
268.429523,226,161.512874
306.471063,246,161.857394
234.553604,267,162.236596
289.658965,414,164.276121
267.067057,619,165.298826
271.844435,335,166.946643
45.994291,176,167.191885
65.424029,213,167.467606
275.168746,291,167.848076
290.465446,252,169.318797
277.581009,239,169.615139
307.651062,271,169.977442
268.415479,277,170.341613
291.389843,220,171.755008
291.694917,226,172.0447
256.382714,248,172.360461
302.941152,234,172.655007
264.939612,232,172.963239
306.302618,233,174.404378
265.066836,241,174.727122
290.162819,247,175.074067
251.048308,250,175.406938
279.883801,336,177.005436
274.00199,274,177.368858
249.766333,244,177.680881
270.917698,265,178.030203
274.346135,239,179.652651
265.885302,292,180.07994
275.841048,234,180.461914
279.42785,238,180.841915
255.88817,225,182.29892
299.022894,264,182.65123
268.694372,322,183.100951
235.881457,230,183.419179
233.8813,407,185.108338
248.154703,316,185.53886
269.278593,285,185.939563
294.412309,246,187.419006
263.666341,251,187.732267
254.623252,281,188.085222
292.112133,336,189.711219
260.699298,225,189.990276
287.896385,248,190.429844
288.251862,225,190.742376
251.824584,234,191.051446
269.399868,415,192.802846
251.838168,251,193.117712
287.79933,241,193.446288
274.129219,223,194.899121
236.757414,235,195.23048
247.429778,248,195.611951
258.865924,267,195.995295
