#{"t_start": 1661930578.7545102, "env_id": "LunarLander-v2"}
r,l,t
-192.642128,81,0.124908
-267.697349,115,0.243179
-134.822128,90,0.33124
-100.181618,76,0.419933
18.435744,84,0.534416
-100.801846,72,0.618677
-203.831494,80,0.707797
-106.388713,74,0.784059
-90.613577,90,0.876101
-101.356482,60,0.926819
-101.201242,58,0.993292
-217.563246,102,1.089436
-95.544294,60,2.395577
-106.671575,112,2.510694
-84.874597,92,2.604994
-204.504696,90,2.706509
-106.50244,78,2.784153
-182.509505,87,2.86831
-111.788061,66,2.933049
-124.666556,64,2.99787
-232.006974,69,3.067454
-187.78124,117,3.187227
-55.122176,80,3.273579
-95.464485,93,3.368914
-172.23732,74,4.699491
-14.795872,91,4.794377
-104.653286,118,4.92117
-133.843743,81,5.013964
-198.822772,130,5.165813
-173.217663,105,5.286688
-132.31384,67,5.360874
-112.530329,79,5.450939
-72.549572,106,5.565458
-82.344405,79,5.660628
-88.190291,88,5.763866
-104.41325,62,5.827544
-117.212448,69,7.081579
-368.012487,113,7.190642
-55.080728,130,7.315144
-47.611572,121,7.431595
-80.032132,83,7.511351
-5.197159,105,7.616232
-85.328186,82,7.70681
-103.287177,105,7.834433
-303.721298,78,7.935501
-248.592798,102,8.06425
-74.291812,85,9.370004
-58.837243,134,9.595328
-93.919522,128,9.842566
-35.078041,141,10.13797
-68.240138,79,10.315828
-69.912793,122,10.577281
-84.555502,76,10.74482
-134.060585,116,10.939996
-104.255364,97,11.042986
-67.644292,76,11.131069
-58.385091,100,12.427275
-54.471266,99,12.534836
-207.628114,127,12.670609
-16.923936,124,12.804876
-200.739971,111,12.924301
-85.654045,128,13.060293
-96.028222,102,13.165116
-31.041863,189,13.363896
-31.880287,146,14.720131
-162.924733,130,14.862735
-52.64119,120,14.984039
-41.53261,122,15.1151
-9.626344,120,15.267656
-82.726063,68,15.35029
-16.698588,85,15.499232
18.60573,95,15.61983
-41.431416,77,15.715854
-104.641642,100,15.861387
-9.304217,132,17.310426
-80.899729,133,17.446472
-21.618104,110,17.559454
-49.880097,128,17.695626
-33.054368,96,17.797354
-73.610575,93,17.90293
-19.773255,117,18.062467
-3.263653,85,18.187279
-54.524142,141,18.416796
-11.776969,133,19.902278
-34.91258,144,20.202683
33.079882,1000,23.228961
13.980694,113,23.497117
-41.843294,138,23.792164
-98.897494,160,24.05418
-9.401311,173,24.351951
-38.61998,116,24.57665
21.968738,151,26.04435
-11.242986,103,26.242023
46.58559,176,26.547843
-4.748356,122,26.784544
99.411917,1000,30.418766
18.354899,180,30.89177
21.316529,128,31.272869
36.445749,125,31.636037
18.227716,153,33.139497
-7.160107,134,33.470162
5.715551,189,33.960134
10.172277,126,34.344396
-6.554118,133,34.756866
1.085112,184,35.308181
-1.373751,129,35.680617
-47.915416,168,37.281812
-167.654064,286,38.063457
-9.57514,137,38.388082
-16.610176,205,38.84631
12.698752,197,39.318508
103.751021,1000,42.813953
145.733575,1000,46.789582
66.591637,1000,50.966849
17.614776,156,51.355654
114.719476,1000,55.055982
91.999076,1000,59.068743
71.358641,1000,62.557714
107.19287,1000,66.138766
112.978218,1000,69.700705
164.704966,1000,73.403241
122.180684,1000,77.086604
122.838499,1000,80.94434
154.633323,1000,84.785863
189.496038,1000,88.438095
120.141314,1000,91.937011
150.531084,1000,95.52065
117.719465,1000,99.01221
149.549499,1000,102.486268
185.126211,1000,106.254377
193.93815,1000,109.422898
185.233918,1000,112.806998
155.7122,1000,116.164985
141.730946,1000,119.506663
182.195917,1000,122.869466
142.631305,1000,126.591086
124.212436,1000,130.443055
164.699909,1000,133.825081
135.693211,1000,137.076245
209.021822,1000,140.27489
146.031108,1000,143.442425
205.299366,1000,146.705849
127.965716,1000,149.735797
161.24147,1000,152.752003
276.499343,343,153.397366
270.069153,744,155.876177
280.365364,257,156.294017
275.121734,461,158.285607
63.272926,177,158.507804
280.931049,287,158.951235
26.980316,192,159.230154
21.524765,173,159.501133
261.81022,455,161.348185
267.779423,329,161.799557
245.843801,421,163.752841
267.461531,262,164.290552
300.416451,237,164.710179
295.006458,364,165.234178
285.875272,208,166.695195
282.708649,281,167.086767
245.533603,260,167.419587
239.961919,262,167.768699
266.863082,256,169.233654
262.769229,257,169.558316
254.932877,289,169.952675
251.509288,256,170.278493
289.960612,302,171.801887
241.972615,255,172.127472
269.661628,324,172.534331
241.418075,220,172.826154
255.845098,249,174.288055
263.601975,288,174.68683
268.78323,261,175.048136
297.427112,241,175.362505
267.165423,254,176.851791
248.401228,227,177.149227
267.856762,283,177.516894
274.795696,300,179.162118
72.884626,159,179.423833
236.035908,381,179.984099
260.098372,294,180.464002
260.103177,368,182.147887
272.033714,278,182.522996
271.260941,409,183.099093
296.734683,331,184.694794
282.350316,280,185.05536
234.89581,301,185.475686
285.47844,253,185.828168
259.609348,238,187.291499
261.579061,257,187.612938
273.732014,210,187.871855
261.189291,260,188.222663
267.090655,255,189.726039
252.916323,277,190.178031
259.472896,242,190.535591
295.663598,216,190.819434
275.407466,251,192.358498
299.16399,257,192.693405
287.333135,234,192.983213
290.648305,234,193.302733
307.697367,249,194.791224
309.312891,238,195.127751
291.105454,242,195.509918
285.474951,275,195.912645
48.01523,148,196.150672
